Tweet,Sentimiento
Éxito en la primera misión comercial europea a la órbita terrestre,Positivo
La cultura española brilla en los Oscar con tres estatuillas,Positivo
Reducción drástica de los incendios forestales gracias a la IA,Positivo
La inteligencia artificial ayuda a detectar el cáncer de forma precoz,Positivo
Nuevo plan de reforestación plantará 10 millones de árboles en un año,Positivo
La economía circular genera miles de empleos verdes en España,Positivo
Los trenes de alta velocidad conectarán todas las capitales este año,Positivo
El arte digital español conquista las ferias internacionales,Positivo
Aprobado el aumento del salario mínimo por encima de la inflación,Positivo
La conectividad 6G llega a las zonas rurales más remotas de España,Positivo
Acoso escolar con deepfakes de IA se duplica en centros educativos,Negativo
Australia sufre peor ola de calor con incendios descontrolados,Negativo
Hackean datos de 2 millones de usuarios de operadoras móviles,Negativo
Supremo anula oposiciones de justicia por irregularidades,Negativo
Derrumbe de hotel en construcción en Estepona causa heridos,Negativo
Precio del aceite de oliva vuelve a subir por la mala cosecha,Negativo
Brecha digital en mayores aumenta según informe de bienestar,Negativo
Abandono de mascotas aumenta un 10% tras las fiestas,Negativo
Cierre definitivo de fábrica de nissan en barcelona,Negativo
Deuda pública española alcanza nuevo máximo histórico,Negativo
Niveles de microplásticos récord en la costa gallega,Negativo
La inflación vuelve a repuntar por el coste del transporte,Negativo
Hackeo masivo a la red hospitalaria deja sin citas a miles,Negativo
Sequía extrema obliga a restringir el consumo de agua en el Ebro,Negativo
Despido masivo en tecnológicas por la automatización total,Negativo
Precio del alquiler sube un 15% y expulsa a los jóvenes,Negativo
Aumento preocupante de estafas con deepfakes de voz,Negativo
Derrumbe de puente histórico tras el temporal causa caos,Negativo
Nuevas variantes de malware atacan comercios locales,Negativo
Brecha de desigualdad aumenta según el informe de riqueza global,Negativo
Cancelados cientos de vuelos por huelga de controladores,Negativo
Crisis de suministros afecta a la producción de vehículos eléctricos,Negativo
Aumento de la temperatura del mar provoca muerte masiva de coral,Negativo
Fuga de datos confidenciales en la agencia tributaria,Negativo
Cierre de librerías históricas en Madrid por la presión inmobiliaria,Negativo
La natalidad cae a mínimos históricos en todas las provincias,Negativo
Aumentan las agresiones físicas a personal sanitario en hospitales,Negativo
El precio de la cesta de la compra sube un 12% en un año,Negativo
Detectan vertidos tóxicos ilegales en la cuenca del Guadalquivir,Negativo
La soledad no deseada afecta ya a uno de cada cuatro jóvenes,Negativo
Cierran el último cine de barrio en Sevilla por falta de público,Negativo
Ola de frío polar causa la rotura de tuberías en miles de hogares,Negativo
El desempleo juvenil vuelve a subir tras el fin de la campaña,Negativo
Hackean la base de datos de una importante plataforma educativa,Negativo
Aumento de los accidentes de tráfico por el mal estado de las vías,Negativo
La sequía destruye la mitad de la cosecha de cereal en Castilla,Negativo
Cierre de centros de salud rurales por falta de personal médico,Negativo
Aumento de los casos de ansiedad y depresión en adolescentes,Negativo
Fuerte caída de la bolsa tras el anuncio de nuevas tensiones,Negativo
La delincuencia informática aumenta un 30% según el ministerio,Negativo
Desahucio de una familia con menores causa gran indignación,Negativo
Plaga de insectos afecta a los cultivos de frutales en el Levante,Negativo
La precariedad laboral afecta especialmente al sector servicios,Negativo
Niveles de ruido insoportables en el centro de las ciudades,Negativo
El abandono de los cascos históricos degrada la imagen urbana,Negativo
Crisis energética obliga a reducir la producción en la industria,Negativo
Aumento de los vertederos ilegales en zonas protegidas,Negativo
El deterioro de los servicios ferroviarios causa protestas masivas,Negativo
La falta de lluvia pone en riesgo el suministro de agua potable,Negativo
Subida drástica del precio de los carburantes ante la crisis,Negativo
